saint_id,kind,tone,text,translation,source_url
OS-1634,Troparion,4,"Your holy martyr, O Lord, / through his suffering has received an incorruptible crown from You, our God. / For having Your strength, he laid low his adversaries, / and shattered the powerless boldness of demons. / Through his intercessions, save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/03
OS-1634,Kontakion,2,"(Podoben: “You sought the heights...”) You appeared as a bright star announcing Christ with your radiance, / which is repulsive to this world, O Martyr Razhden; / extinguishing the allure of false gods, / you enlighten the faithful, / always interceding for us all.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/03
OS-1635,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe. / O our holy Father Cosmas, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/03
OS-1636,Troparion,4,"Your holy martyrs, O Lord, / through their sufferings have received an incorruptible crown from You, our God. / For having Your strength, they laid low their adversaries, / and shattered the powerless boldness of demons. / Through their intercessions, save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/03
OS-1637,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe! / O our holy mothers Theodora and Theopiste, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/03
OS-1639,Troparion,4,"Your holy martyrs, O Lord, / through their sufferings have received their incorruptible crowns from You, our God. / For having Your strength, they laid low their adversaries, / and shattered the powerless boldness of demons. / Through their intercessions, save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/04
OS-1639,Kontakion,4,"Those who renounced the perishing comforts of this world, / preferring the eternal things of Heaven, / were incorrupt after death and rose from the dead / and buried the snares of the devils! / O Faithful, let us then honor them, singing a hymn of praise to Christ!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/04
OS-1640,Troparion,4,"Your lamb Eudokia calls out to You, O Jesus, in a loud voice: / “I love You, my Bridegroom, and in seeking You I endure suffering. / In baptism I was crucified so that I might reign in You, / and I died so that I might live with You. / Accept me as a pure sacrifice, / for I have offered myself in love.” / Through her prayers save our souls, since You are merciful.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/04
OS-1641,Troparion,4,"Your holy martyr, O Lord, / through his sufferings has received an incorruptible crown from You, our God. / For having Your strength, he laid low his adversaries, / and shattered the powerless boldness of demons. / Through his intercessions, save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/04
OS-1641,Kontakion,2,"(Podoben: “You sought the heights...”) You appeared as a bright star announcing Christ with your radiance, / which is repulsive to this world, O Martyr Eleutherius; / extinguishing the allure of false gods, / you enlighten the faithful, / always interceding for us all.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/04
