feast_id,image_path,license,credit,source,kind,tag,title,era,by
FF-0005,icons/permission/legacy-icons/feasts/FF-0005-nativity-of-christ-xvc-icon-f160.jpg,Permission:legacy-icons,,https://legacyicons.com/nativity-of-christ-xvc-icon-f160/,shop,Available to order,Nativity of Christ,15th c.,Legacy Icons
FF-0005,icons/permission/legacy-icons/feasts/FF-0005-nativity-of-christ-xvc-icon-f161.jpg,Permission:legacy-icons,,https://legacyicons.com/nativity-of-christ-xvc-icon-f161/,shop,Available to order,Nativity of Christ,15th c.,Legacy Icons
FF-0005,icons/permission/legacy-icons/feasts/FF-0005-nativity-of-christ-xviiic-icon-f162.jpg,Permission:legacy-icons,,https://legacyicons.com/nativity-of-christ-xviiic-icon-f162/,shop,Available to order,Nativity of Christ,18th c.,Legacy Icons
FF-0005,icons/permission/legacy-icons/feasts/FF-0005-nativity-of-christ-xxc-icon-f382.jpg,Permission:legacy-icons,,https://legacyicons.com/nativity-of-christ-xxc-icon-f382/,shop,Available to order,Nativity of Christ,20th c.,Legacy Icons
FF-0005,icons/permission/legacy-icons/feasts/FF-0005-nativity-of-christ-xxic-icon-f194.jpg,Permission:legacy-icons,,https://legacyicons.com/nativity-of-christ-xxic-icon-f194/,shop,Available to order,Nativity of Christ,21st c.,Legacy Icons
FF-0005,icons/permission/theophany-works/feasts/FF-0005-21st-c.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-nativity-of-christ-christmas-21th-c-00fnc002/,shop,Available to order,Nativity of Christ,21st c.,Theophany Works
FF-0005,icons/permission/theophany-works/feasts/FF-0005-gifts-of-the-magi.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-gifts-of-the-magi-21st-c-00ljc009/,shop,Available to order,The Gifts of the Magi,21st c.,Theophany Works
FF-0005,icons/permission/theophany-works/feasts/FF-0005-icon-of-the-nativity-of-christ-christmas-21s.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-nativity-of-christ-christmas-21st-c-00fnc003/,shop,Available to order,Nativity of Christ (Christmas) - 21st c.,21th c.,Theophany Works
FF-0006,icons/permission/legacy-icons/feasts/FF-0006-theophany-athos-icon-f255.jpg,Permission:legacy-icons,,https://legacyicons.com/theophany-athos-icon-f255/,shop,Available to order,Theophany (Athos),,Legacy Icons
FF-0006,icons/permission/legacy-icons/feasts/FF-0006-theophany-icon-f181.jpg,Permission:legacy-icons,,https://legacyicons.com/theophany-icon-f181/,shop,Available to order,Theophany,,Legacy Icons
FF-0006,icons/permission/legacy-icons/feasts/FF-0006-theophany-icon-f182.jpg,Permission:legacy-icons,,https://legacyicons.com/theophany-icon-f182/,shop,Available to order,Theophany,,Legacy Icons
FF-0006,icons/permission/legacy-icons/feasts/FF-0006-theophany-xxic-icon-f196.jpg,Permission:legacy-icons,,https://legacyicons.com/theophany-xxic-icon-f196/,shop,Available to order,Theophany,21st c.,Legacy Icons
FF-0006,icons/permission/theophany-works/feasts/FF-0006-icon-of-the-baptism-of-christ-theophany-20th.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-baptism-of-christ-theophany-20th-c-00fth001/,shop,Available to order,Baptism of Christ (Theophany) - 20th c.,20th c.,Theophany Works
FF-0006,icons/permission/theophany-works/feasts/FF-0006-meteora-14th-c.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-baptism-theophany-of-christ-meteora-athos-14th-c-00fth002/,shop,Available to order,Baptism (Theophany) of Christ (Meteora, Mt Athos),14th c.
FF-0007,icons/permission/legacy-icons/feasts/FF-0007-presentation-of-christ-bamberg-icon-f278.jpg,Permission:legacy-icons,,https://legacyicons.com/presentation-of-christ-bamberg-icon-f278/,shop,Available to order,Presentation of Christ (Bamberg),,Legacy Icons
FF-0007,icons/permission/legacy-icons/feasts/FF-0007-presentation-of-christ-xxic-icon-f198.jpg,Permission:legacy-icons,,https://legacyicons.com/presentation-of-christ-xxic-icon-f198/,shop,Available to order,Presentation of Christ,21st c.,Legacy Icons
FF-0008,icons/permission/legacy-icons/feasts/FF-0008-annunciation-bamberg-icon-f272.jpg,Permission:legacy-icons,,https://legacyicons.com/annunciation-bamberg-icon-f272/,shop,Available to order,Annunciation (Bamberg),,Legacy Icons
FF-0008,icons/permission/legacy-icons/feasts/FF-0008-annunciation-icon-f102.jpg,Permission:legacy-icons,,https://legacyicons.com/annunciation-rublev-icon-f102/,shop,Available to order,Annunciation (Rublev),,Legacy Icons
FF-0008,icons/permission/legacy-icons/feasts/FF-0008-annunciation-icon-f191.jpg,Permission:legacy-icons,,https://legacyicons.com/annunciation-with-holy-family-icon-f191/,shop,Available to order,Annunciation (With Holy Family),,Legacy Icons
FF-0008,icons/permission/legacy-icons/feasts/FF-0008-annunciation-icon-f199.jpg,Permission:legacy-icons,,https://legacyicons.com/annunciation-xxic-icon-f199/,shop,Available to order,Annunciation,21st c.,Legacy Icons
FF-0008,icons/permission/legacy-icons/feasts/FF-0008-annunciation-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/annunciation-grygorenko-icon-f420/,shop,Available to order,Annunciation,,Grygorenko
FF-0008,icons/permission/legacy-icons/feasts/FF-0008-annunciation-ohrid-icon-f101.jpg,Permission:legacy-icons,,https://legacyicons.com/annunciation-ohrid-icon-f101/,shop,Available to order,Annunciation (Ohrid),,Legacy Icons
FF-0008,icons/permission/theophany-works/feasts/FF-0008-21st-c.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-annunciation-21st-c-00fan005/,shop,Available to order,The Annunciation,21st c.,Theophany Works
FF-0008,icons/permission/theophany-works/feasts/FF-0008-annunciation.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-annunciation-00fan001/,shop,Available to order,The Annunciation,,Theophany Works
FF-0008,icons/permission/theophany-works/feasts/FF-0008-royal-doors.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-annunciation-set-of-2-crete-royal-doors-00fan002/,shop,Available to order,The Annunciation (Royal Doors, Crete),
FF-0009,icons/permission/legacy-icons/feasts/FF-0009-entry-into-jerusalem-bamberg-icon-f284.jpg,Permission:legacy-icons,,https://legacyicons.com/entry-into-jerusalem-bamberg-icon-f284/,shop,Available to order,Entry into Jerusalem (Bamberg),,Legacy Icons
FF-0009,icons/permission/legacy-icons/feasts/FF-0009-entry-into-jerusalem-icon-f134.jpg,Permission:legacy-icons,,https://legacyicons.com/entry-into-jerusalem-palm-sunday-icon-f134/,shop,Available to order,Entry into Jerusalem (Palm Sunday),,Legacy Icons
FF-0009,icons/permission/legacy-icons/feasts/FF-0009-entry-into-jerusalem-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/entry-into-jerusalem-palm-sunday-athos-icon-f241/,shop,Available to order,Entry Into Jerusalem (Palm Sunday) (Athos),,Legacy Icons
FF-0009,icons/permission/legacy-icons/feasts/FF-0009-entry-into-jerusalem-whirledge-icon-f422.jpg,Permission:legacy-icons,,https://legacyicons.com/entry-into-jerusalem-whirledge-icon-f422/,shop,Available to order,Entry Into Jerusalem (Whirledge),,Legacy Icons
FF-0009,icons/permission/legacy-icons/feasts/FF-0009-entry-into-jerusalem-xixc-f376.jpg,Permission:legacy-icons,,https://legacyicons.com/entry-into-jerusalem-xixc-f376/,shop,Available to order,Entry Into Jerusalem,19th c.,Legacy Icons
FF-0009,icons/permission/legacy-icons/feasts/FF-0009-entry-into-jerusalem-xixc-icon-f367.jpg,Permission:legacy-icons,,https://legacyicons.com/entry-into-jerusalem-xixc-icon-f367/,shop,Available to order,Entry Into Jerusalem,19th c.,Legacy Icons
FF-0009,icons/permission/legacy-icons/feasts/FF-0009-palm-sunday.jpg,Permission:legacy-icons,,https://legacyicons.com/palm-sunday-mosaic-f212/,shop,Available to order,Palm Sunday (Mosaic),,Legacy Icons
FF-0010,icons/permission/legacy-icons/feasts/FF-0010-ascension-of-christ-icon-f104.jpg,Permission:legacy-icons,,https://legacyicons.com/ascension-of-christ-icon-f104/,shop,Available to order,Ascension of Christ,,Legacy Icons
FF-0010,icons/permission/legacy-icons/feasts/FF-0010-ascension-of-christ-icon-f105.jpg,Permission:legacy-icons,,https://legacyicons.com/ascension-of-christ-icon-f105/,shop,Available to order,Ascension of Christ,,Legacy Icons
FF-0010,icons/permission/legacy-icons/feasts/FF-0010-ascension-of-christ-icon-f107.jpg,Permission:legacy-icons,,https://legacyicons.com/ascension-of-christ-icon-f107/,shop,Available to order,Ascension of Christ,,Legacy Icons
FF-0010,icons/permission/legacy-icons/feasts/FF-0010-ascension-of-christ-icon-f274.jpg,Permission:legacy-icons,,https://legacyicons.com/ascension-of-christ-bamberg-icon-f274/,shop,Available to order,Ascension of Christ (Bamberg),,Legacy Icons
FF-0010,icons/permission/legacy-icons/feasts/FF-0010-ascension-of-christ-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/ascension-of-christ-mt-pleasant-icon-f106/,shop,Available to order,Ascension of Christ (Mt. Pleasant),,Legacy Icons
FF-0011,icons/permission/legacy-icons/feasts/FF-0011-holy-spirit-dove-icon-x126.jpg,Permission:legacy-icons,,https://legacyicons.com/holy-spirit-dove-icon-x126/,shop,Available to order,Holy Spirit Dove,,Legacy Icons
FF-0011,icons/permission/legacy-icons/feasts/FF-0011-holy-spirit-dove-xviic-icon-x161.jpg,Permission:legacy-icons,,https://legacyicons.com/holy-spirit-dove-xviic-icon-x161/,shop,Available to order,Holy Spirit Dove,17th c.,Legacy Icons
FF-0011,icons/permission/legacy-icons/feasts/FF-0011-pentecost-bamberg-icon-f280.jpg,Permission:legacy-icons,,https://legacyicons.com/pentecost-bamberg-icon-f280/,shop,Available to order,Pentecost (Bamberg),,Legacy Icons
FF-0012,icons/permission/legacy-icons/feasts/FF-0012-transfiguration-icon-f184.jpg,Permission:legacy-icons,,https://legacyicons.com/transfiguration-sinai-icon-f184/,shop,Available to order,Transfiguration (Sinai),,Legacy Icons
FF-0012,icons/permission/legacy-icons/feasts/FF-0012-transfiguration-icon-f205.jpg,Permission:legacy-icons,,https://legacyicons.com/transfiguration-icon-f205/,shop,Available to order,Transfiguration,,Legacy Icons
FF-0012,icons/permission/legacy-icons/feasts/FF-0012-transfiguration-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/transfiguration-xvc-icon-f185/,shop,Available to order,Transfiguration,15th c.,Legacy Icons
