saint_id,image_path,license,credit,source,kind,tag,title,era,by
OS-0043,icons/OS-0043.jpg,PD-art,,https://commons.wikimedia.org/wiki/File:Seraphim_of_Sarov.jpg,museum,Public domain,St. Seraphim of Sarov,,
OS-0044,icons/OS-0044.jpg,CC-BY-SA-3.0,AlexEleon,https://commons.wikimedia.org/wiki/File:Saint_Herman_of_Alaska.jpg,museum,Creative Commons,St. Herman of Alaska,,AlexEleon
OS-0044,icons/permission/theophany-works/OS-0044-stha01.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-herman-of-alaska-00stha01/,shop,Available to order,St. Herman of Alaska,,Theophany Works
OS-0046,icons/OS-0046.jpg,PD-art,,https://commons.wikimedia.org/wiki/File:Saint_Nektarios_of_Aegina_Icon.jpg,museum,Public domain,St. Nektarios of Aegina,,
OS-0046,icons/permission/theophany-works/OS-0046-stna02.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-nektarios-of-aegina-20th-c-00stna02/,shop,Available to order,St. Nektarios of Aegina,20th c.,Theophany Works
OS-0046,icons/permission/theophany-works/OS-0046-stna03.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-nektarios-of-aegina-20th-c-00stna03/,shop,Available to order,St. Nektarios of Aegina,20th c.,Theophany Works
OS-0047,icons/OS-0047.jpg,CC-BY-2.0,"Raymond Bucko, SJ",https://commons.wikimedia.org/wiki/File:Icon_of_Saint_Xenia_(7361669224).jpg,museum,Creative Commons,St. Xenia of St. Petersburg,,"Raymond Bucko, SJ"
OS-0047,icons/permission/theophany-works/OS-0047-stxp02.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-xenia-of-saint-petersburg-21st-c-00stxp02/,shop,Available to order,St. Xenia of Saint Petersburg,21st c.,Theophany Works
OS-0050,icons/permission/theophany-works/OS-0050-stjs01.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-john-maximovich-of-san-francisco-21st-c-00stjs01/,shop,Available to order,St. John Maximovich of San Francisco,21st c.,Theophany Works
OS-0060,icons/permission/theophany-works/OS-0060-stpr01.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-paraskevi-of-rome-20th-c-00stpr01/,shop,Available to order,St. Paraskevi of Rome,20th c.,Theophany Works
