vendor_slug,vendor_name,attribution,homepage,granted,status,terms
theophany-works,Theophany Works,Icon used with permission from Theophany Works.,https://theophanyworks.com/holy-icons/,2026-06-17,active,Conditional grant 2026-06-17; confirmed in full 2026-06-23; condition: each image links to its icon page. See docs/permissions/theophany-works.md
legacy-icons,Legacy Icons,Icon used with permission from Legacy Icons.,https://legacyicons.com/,2026-08-03,active,Granted 2026-08-03 on the same terms as Theophany Works; condition: each image carries a visible credit and links to its icon page on legacyicons.com. See docs/permissions/legacy-icons.md
